Species,Process,Cardinal,Temperature
Fusarium acuminatum,disease development,min,20.0
Fusarium acuminatum,disease development,opt,24.0
Fusarium acuminatum,growth in culture,max,37.5
Fusarium acuminatum,growth in culture,max,35.75
Fusarium acuminatum,growth in culture,max,36.0
Fusarium acuminatum,growth in culture,min,5.0
Fusarium acuminatum,growth in culture,min,5.0
Fusarium acuminatum,growth in culture,opt,21.0
Fusarium acuminatum,growth in culture,opt,20.0
Fusarium acuminatum,growth in culture,max,35.75
Fusarium acuminatum,growth in culture,min,5.0
Fusarium acuminatum,growth in culture,max,36.0
Fusarium acuminatum,growth in culture,max,34.0
Fusarium acuminatum,growth in culture,max,34.0
Fusarium acuminatum,growth in culture,min,8.0
Fusarium acuminatum,growth in culture,min,5.0
Fusarium acuminatum,growth in culture,min,5.0
Fusarium acuminatum,growth in culture,opt,26.0
Fusarium alluviale,growth in culture,max,37.5
Fusarium alluviale,growth in culture,min,5.0
Fusarium anguioides,growth in culture,max,33.0
Fusarium anguioides,growth in culture,min,3.0
Fusarium anguioides,growth in culture,opt,21.5
Fusarium anguioides,sporulation,max,25.0
Fusarium anguioides,sporulation,min,5.0
Fusarium anguioides,sporulation,opt,14.0
Fusarium annuum,growth in culture,max,37.0
Fusarium annuum,growth in culture,min,17.0
Fusarium annuum,growth in culture,opt,27.0
Fusarium annuum,growth in culture,opt,31.0
Fusarium anthophilum,growth in culture,max,37.5
Fusarium anthophilum,growth in culture,min,5.0
Fusarium arthrosporioides,growth in culture,max,33.0
Fusarium arthrosporioides,growth in culture,min,3.0
Fusarium arthrosporioides,growth in culture,opt,21.0
Fusarium arthrosporioides,growth in culture,opt,20.0
Fusarium avenaceum,growth in culture,max,38.0
Fusarium avenaceum,growth in culture,max,38.0
Fusarium avenaceum,growth in culture,max,34.0
Fusarium avenaceum,growth in culture,max,34.0
Fusarium avenaceum,growth in culture,max,34.0
Fusarium avenaceum,growth in culture,max,34.0
Fusarium avenaceum,growth in culture,max,37.5
Fusarium avenaceum,growth in culture,max,37.0
Fusarium avenaceum,growth in culture,max,37.0
Fusarium avenaceum,growth in culture,max,32.0
Fusarium avenaceum,growth in culture,max,32.0
Fusarium avenaceum,growth in culture,min,0.5
Fusarium avenaceum,growth in culture,min,-10.0
Fusarium avenaceum,growth in culture,min,5.0
Fusarium avenaceum,growth in culture,min,5.0
Fusarium avenaceum,growth in culture,min,5.0
Fusarium avenaceum,growth in culture,min,5.0
Fusarium avenaceum,growth in culture,min,5.0
Fusarium avenaceum,growth in culture,min,5.0
Fusarium avenaceum,growth in culture,min,7.0
Fusarium avenaceum,growth in culture,min,7.0
Fusarium avenaceum,growth in culture,opt,26.0
Fusarium avenaceum,growth in culture,opt,26.0
Fusarium avenaceum,growth in culture,opt,22.5
Fusarium avenaceum,growth in culture,opt,22.5
Fusarium avenaceum,growth in culture,opt,27.0
Fusarium avenaceum,growth in culture,opt,27.0
Fusarium avenaceum,infection,opt,14.0
Fusarium caeruleum,growth in culture,max,35.0
Fusarium caeruleum,growth in culture,min,10.0
Fusarium caeruleum,growth in culture,opt,20.0
Fusarium caeruleum,disease development,max,25.0
Fusarium caeruleum,disease development,max,38.0
Fusarium caeruleum,disease development,min,0.0
Fusarium caeruleum,disease development,min,7.0
Fusarium caeruleum,disease development,opt,17.5
Fusarium caeruleum,growth in culture,max,34.0
Fusarium caeruleum,growth in culture,max,37.5
Fusarium caeruleum,growth in culture,max,37.5
Fusarium caeruleum,growth in culture,max,37.5
Fusarium caeruleum,growth in culture,max,30.0
Fusarium caeruleum,growth in culture,min,5.0
